"ORDEPREC,N,6,0","GRARARTI,C,10","CODILIST,C,1","ANTEPREC,N,19,6","FEANPREC,D","ACTUPREC,N,19,6","FEACPREC,D","CODIMONE,C,1","CAANPREC,N,10,0","CANTPREC,N,10,0"
391536,633025,V,"57825,39202",10/03/2026,"57825,39202",16/03/2026,,1,1
391539,633026,V,"223248,837021",10/03/2026,"223248,837021",16/03/2026,,1,1
391542,633027,V,"100114,831128",10/03/2026,"100114,831128",16/03/2026,,1,1
391545,633028,V,"121955,639436",09/12/2025,"121955,639436",30/12/2025,,1,1
391547,633032,V,"63359,597886",25/11/2025,"63359,597886",09/12/2025,,1,1
391550,633033,V,"30250,040774",10/03/2026,"30250,040774",16/03/2026,,1,1
391553,633034,V,"169497,136435",10/03/2026,"169497,136435",16/03/2026,,1,1
391556,633035,V,"900065,48642",10/03/2026,"900065,48642",16/03/2026,,1,1
391559,633036,V,"87087,734834",10/03/2026,"87087,734834",16/03/2026,,1,1
391562,633037,V,"16690,441133",10/03/2026,"16690,441133",16/03/2026,,1,1
391565,633038,V,"18811,300726",10/03/2026,"18811,300726",16/03/2026,,1,1
391568,633039,V,"18879,605383",10/03/2026,"18879,605383",16/03/2026,,1,1
391571,633040,V,"13184,113175",10/03/2026,"13184,113175",16/03/2026,,1,1
391574,633041,V,"15235,315364",10/03/2026,"15235,315364",16/03/2026,,1,1
391577,633042,V,"19429,197026",10/03/2026,"19429,197026",16/03/2026,,1,1
391579,633043,V,"50641,270791",10/03/2026,"50641,270791",16/03/2026,,1,1
391582,633044,V,"32984,51701",10/03/2026,"32984,51701",16/03/2026,,1,1
391585,633045,V,"36263,140536",10/03/2026,"36263,140536",16/03/2026,,1,1
391588,633046,V,"40907,857198",10/03/2026,"40907,857198",16/03/2026,,1,1
391591,633047,V,"25654,262639",10/03/2026,"25654,262639",16/03/2026,,1,1
391594,633048,V,"11438,765408",10/03/2026,"11438,765408",16/03/2026,,1,1
391597,633049,V,"11481,713629",10/03/2026,"11481,713629",16/03/2026,,1,1
391600,633050,V,"11538,977924",10/03/2026,"11538,977924",16/03/2026,,1,1
391603,633051,V,"11610,558293",10/03/2026,"11610,558293",16/03/2026,,1,1
391606,633052,V,"11768,035104",10/03/2026,"11768,035104",16/03/2026,,1,1
391609,633053,V,"12226,149463",10/03/2026,"12226,149463",16/03/2026,,1,1
391612,633054,V,"11868,24762",10/03/2026,"11868,24762",16/03/2026,,1,1
391615,633055,V,"12004,25032",10/03/2026,"12004,25032",16/03/2026,,1,1
391618,633056,V,"12150,990076",10/03/2026,"12150,990076",16/03/2026,,1,1
391621,633057,V,"12516,049955",10/03/2026,"12516,049955",16/03/2026,,1,1
391624,633058,V,"13049,323701",10/03/2026,"13049,323701",16/03/2026,,1,1
391627,633059,V,"13732,916221",10/03/2026,"13732,916221",16/03/2026,,1,1
391630,633060,V,"15153,786537",10/03/2026,"15153,786537",16/03/2026,,1,1
391633,633061,V,"16413,601024",10/03/2026,"16413,601024",16/03/2026,,1,1
391636,633062,V,"12537,524066",10/03/2026,"12537,524066",16/03/2026,,1,1
391639,633063,V,"12945,532167",10/03/2026,"12945,532167",16/03/2026,,1,1
391642,633064,V,"13546,807263",10/03/2026,"13546,807263",16/03/2026,,1,1
391645,633065,V,"13242,590696",10/03/2026,"13242,590696",16/03/2026,,1,1
391648,633066,V,"13879,655977",10/03/2026,"13879,655977",16/03/2026,,1,1
391651,633067,V,"14445,140888",10/03/2026,"14445,140888",16/03/2026,,1,1
391654,633068,V,"18410,693307",10/03/2026,"18410,693307",16/03/2026,,1,1
391657,633069,V,"20271,78289",10/03/2026,"20271,78289",16/03/2026,,1,1
391660,633070,V,"26892,966983",10/03/2026,"26892,966983",16/03/2026,,1,1
391663,633071,V,"17945,420912",10/03/2026,"17945,420912",16/03/2026,,1,1
391666,633072,V,"10674,535783",10/03/2026,"10674,535783",16/03/2026,,1,1
391669,633073,V,"13052,993712",10/03/2026,"13052,993712",16/03/2026,,1,1
391672,633074,V,"17800,319012",10/03/2026,"17800,319012",16/03/2026,,1,1
391675,633075,V,"22531,660052",10/03/2026,"22531,660052",16/03/2026,,1,1
391678,633076,V,"13248,001687",10/03/2026,"13248,001687",16/03/2026,,1,1
391681,633077,V,"18311,815341",10/03/2026,"18311,815341",16/03/2026,,1,1
391684,633078,V,"22915,282299",10/03/2026,"22915,282299",16/03/2026,,1,1
391687,633079,V,"12854,788884",10/03/2026,"12854,788884",16/03/2026,,1,1
391690,633080,V,"15469,813865",10/03/2026,"15469,813865",16/03/2026,,1,1
391693,633081,V,"23362,841586",10/03/2026,"23362,841586",16/03/2026,,1,1
391696,633082,V,"22211,974847",10/03/2026,"22211,974847",16/03/2026,,1,1
391699,633083,V,"21488,649156",10/03/2026,"21488,649156",16/03/2026,,1,1
391702,633084,V,"20951,796392",10/03/2026,"20951,796392",16/03/2026,,1,1
391705,633085,V,"22633,935053",10/03/2026,"22633,935053",16/03/2026,,1,1
391708,633086,V,"24602,395189",10/03/2026,"24602,395189",16/03/2026,,1,1
391711,633087,V,"27071,917905",10/03/2026,"27071,917905",16/03/2026,,1,1
391714,633088,V,"10901,912644",10/03/2026,"10901,912644",16/03/2026,,1,1
391717,633089,V,"11263,393505",10/03/2026,"11263,393505",16/03/2026,,1,1
391720,633090,V,"15769,377707",10/03/2026,"15769,377707",16/03/2026,,1,1
391723,633091,V,"13754,390332",10/03/2026,"13754,390332",16/03/2026,,1,1
391725,633092,V,"14348,507391",10/03/2026,"14348,507391",16/03/2026,,1,1
391728,633093,V,"13371,43536",10/03/2026,"13371,43536",16/03/2026,,1,1
391731,633094,V,"14028,033588",10/03/2026,"14028,033588",16/03/2026,,1,1
391734,633095,V,"11760,695083",10/03/2026,"11760,695083",16/03/2026,,1,1
391737,633096,V,"14056,665736",10/03/2026,"14056,665736",16/03/2026,,1,1
391740,633097,V,"18408,873468",10/03/2026,"18408,873468",16/03/2026,,1,1
391743,633098,V,"15679,902246",10/03/2026,"15679,902246",16/03/2026,,1,1
391746,633099,V,"11997,092283",10/03/2026,"11997,092283",16/03/2026,,1,1
391749,633100,V,"14570,406533",10/03/2026,"14570,406533",16/03/2026,,1,1
391752,633101,V,"21882,341183",10/03/2026,"21882,341183",16/03/2026,,1,1
391755,633102,V,"24566,605005",10/03/2026,"24566,605005",16/03/2026,,1,1
391758,633103,V,"18732,804966",10/03/2026,"18732,804966",16/03/2026,,1,1
391761,633104,V,"17143,720784",10/03/2026,"17143,720784",16/03/2026,,1,1
391764,633105,V,"17766,46999",10/03/2026,"17766,46999",16/03/2026,,1,1
391767,633106,V,"25532,939981",10/03/2026,"25532,939981",16/03/2026,,1,1
391770,633107,V,"26212,953482",10/03/2026,"19760,992",16/03/2026,,1,1
391773,633108,V,"15014,204819",10/03/2026,"15014,204819",16/03/2026,,1,1
391776,633109,V,"19555,979205",10/03/2026,"19555,979205",16/03/2026,,1,1
391779,633110,V,"22562,354685",10/03/2026,"22562,354685",16/03/2026,,1,1
391782,633111,V,"16656,974277",10/03/2026,"16656,974277",16/03/2026,,1,1
391785,633112,V,"18661,224597",10/03/2026,"18661,224597",16/03/2026,,1,1
391788,633113,V,"13815,233645",10/03/2026,"13815,233645",16/03/2026,,1,1
391791,633114,V,"15103,680279",10/03/2026,"15103,680279",16/03/2026,,1,1
391794,633115,V,"15769,377707",10/03/2026,"15769,377707",16/03/2026,,1,1
391797,633116,V,"14259,03193",10/03/2026,"14259,03193",16/03/2026,,1,1
391800,633117,V,"15103,680279",10/03/2026,"15103,680279",16/03/2026,,1,1
391803,633118,V,"15679,902246",10/03/2026,"15679,902246",16/03/2026,,1,1
391806,633119,V,"13951,236345",10/03/2026,"13951,236345",16/03/2026,,1,1
391809,633120,V,"13994,184566",10/03/2026,"13994,184566",16/03/2026,,1,1
391812,633121,V,"17193,827042",10/03/2026,"17193,827042",16/03/2026,,1,1
391815,633122,V,"18088,581649",10/03/2026,"18088,581649",16/03/2026,,1,1
391818,633123,V,"16377,81084",10/03/2026,"16377,81084",16/03/2026,,1,1
391821,633124,V,"17047,087286",10/03/2026,"17047,087286",16/03/2026,,1,1
391824,633125,V,"15873,169241",10/03/2026,"15873,169241",16/03/2026,,1,1
391827,633126,V,"16746,449738",10/03/2026,"16746,449738",16/03/2026,,1,1
391830,633127,V,"18410,693307",10/03/2026,"18410,693307",16/03/2026,,1,1
391833,633128,V,"34408,905684",10/03/2026,"34408,905684",16/03/2026,,1,1
391836,633129,V,"23850,801319",10/03/2026,"23850,801319",16/03/2026,,1,1
391839,633130,V,"19555,979205",10/03/2026,"19555,979205",16/03/2026,,1,1
391842,633131,V,"13106,587996",10/03/2026,"13106,587996",16/03/2026,,1,1
391845,633132,V,"13550,386281",10/03/2026,"13550,386281",16/03/2026,,1,1
391848,633133,V,"11109,495713",10/03/2026,"11109,495713",16/03/2026,,1,1
391851,633134,V,"11553,293998",10/03/2026,"11553,293998",16/03/2026,,1,1
391854,633135,V,"12086,567744",10/03/2026,"12086,567744",16/03/2026,,1,1
391857,633136,V,"12176,043205",10/03/2026,"12176,043205",16/03/2026,,1,1
391860,633137,V,"13106,587996",10/03/2026,"13106,587996",16/03/2026,,1,1
391863,633138,V,"15146,6285",10/03/2026,"15146,6285",16/03/2026,,1,1
391866,633139,V,"17130,132646",10/03/2026,"17130,132646",16/03/2026,,1,1
391869,633140,V,"17515,9387",10/03/2026,"17515,9387",16/03/2026,,1,1
391872,633141,V,"18697,014782",10/03/2026,"18697,014782",16/03/2026,,1,1
391875,633142,V,"30006,713016",10/03/2026,"30006,713016",16/03/2026,,1,1
391878,633143,V,"31653,061494",10/03/2026,"31653,061494",16/03/2026,,1,1
391881,633144,V,"35697,352318",10/03/2026,"35697,352318",16/03/2026,,1,1
391884,633145,V,"11551,595481",10/03/2026,"11551,595481",16/03/2026,,1,1
391887,633146,V,"16213,175992",10/03/2026,"16213,175992",16/03/2026,,1,1
391890,633147,V,"18875,965703",10/03/2026,"18875,965703",16/03/2026,,1,1
391893,633148,V,"22025,50192",10/03/2026,"22025,50192",16/03/2026,,1,1
391896,633149,V,"23421,319108",10/03/2026,"23421,319108",16/03/2026,,1,1
391899,633150,V,"16524,550596",10/03/2026,"16524,550596",16/03/2026,,1,1
391902,633151,V,"21238,117866",10/03/2026,"21238,117866",16/03/2026,,1,1
391905,633152,V,"15103,680279",10/03/2026,"15103,680279",16/03/2026,,1,1
391908,633153,V,"15511,68838",10/03/2026,"15511,68838",16/03/2026,,1,1
391911,633154,V,"17802,260175",10/03/2026,"17802,260175",16/03/2026,,1,1
391914,633155,V,"17802,260175",10/03/2026,"17802,260175",16/03/2026,,1,1
391917,633156,V,"17802,260175",10/03/2026,"17802,260175",16/03/2026,,1,1
391920,633157,V,"13196,063457",10/03/2026,"13196,063457",16/03/2026,,1,1
391923,633158,V,"16052,120163",10/03/2026,"16052,120163",16/03/2026,,1,1
391926,633159,V,"18553,854045",10/03/2026,"18553,854045",16/03/2026,,1,1
391929,633160,V,"22812,885975",10/03/2026,"22812,885975",16/03/2026,,1,1
391932,633161,V,"12040,040504",10/03/2026,"12040,040504",16/03/2026,,1,1
391935,633162,V,"12261,939647",10/03/2026,"12261,939647",16/03/2026,,1,1
391938,633163,V,"12530,366029",10/03/2026,"12530,366029",16/03/2026,,1,1
391941,633164,V,"12795,213393",10/03/2026,"12795,213393",16/03/2026,,1,1
391944,633165,V,"13371,43536",10/03/2026,"13371,43536",16/03/2026,,1,1
391947,633166,V,"13861,760885",10/03/2026,"13861,760885",16/03/2026,,1,1
391950,633167,V,"19233,867546",10/03/2026,"19233,867546",16/03/2026,,1,1
391953,633168,V,"22454,984132",10/03/2026,"22454,984132",16/03/2026,,1,1
391956,633169,V,"17587,519069",10/03/2026,"17587,519069",16/03/2026,,1,1
391959,633170,V,"27036,127721",10/03/2026,"27036,127721",16/03/2026,,1,1
391962,633171,V,"40994,299593",10/03/2026,"40994,299593",16/03/2026,,1,1
391965,633172,V,"14201,767635",10/03/2026,"14201,767635",16/03/2026,,1,1
391968,633173,V,"14201,767635",10/03/2026,"14201,767635",16/03/2026,,1,1
391971,633174,V,"14201,767635",10/03/2026,"14201,767635",16/03/2026,,1,1
391974,633175,V,"15312,71922",10/03/2026,"15312,71922",16/03/2026,,1,1
391977,633176,V,"17388,549909",10/03/2026,"17388,549909",16/03/2026,,1,1
391980,633178,V,"26184,442657",10/03/2026,"26184,442657",16/03/2026,,1,1
391983,633179,V,"24249,346253",10/03/2026,"24249,346253",16/03/2026,,1,1
391986,633180,V,"28999,128337",10/03/2026,"28999,128337",16/03/2026,,1,1
391989,633181,V,"34241,480415",10/03/2026,"34241,480415",16/03/2026,,1,1
391991,633182,V,"83910,976846",25/11/2025,"83910,976846",09/12/2025,,1,1
391994,633183,V,"164013,04896",10/03/2026,"164013,04896",16/03/2026,,1,1
391997,633185,V,"99082,981917",10/03/2026,"99082,981917",16/03/2026,,1,1
392000,633186,V,"107036,819588",10/03/2026,"107036,819588",16/03/2026,,1,1
392002,633187,V,"138336,245667",25/11/2025,"138336,245667",09/12/2025,,1,1
392006,633188,V,"22889,707482",10/03/2026,"22889,707482",16/03/2026,,1,1
392009,633189,V,"169107,326733",10/03/2026,"169107,326733",16/03/2026,,1,1
392012,633190,V,"158318,769978",25/11/2025,"158318,769978",09/12/2025,,1,1
392014,633191,V,"66493,744324",25/11/2025,"66493,744324",09/12/2025,,1,1
392017,633192,V,"63312,209255",10/03/2026,"63312,209255",16/03/2026,,1,1
392019,633193,V,"175860,206572",10/03/2026,"175860,206572",16/03/2026,,1,1
392023,633194,V,"93149,848951",10/03/2026,"93149,848951",16/03/2026,,1,1
392026,633195,V,"107206,140523",25/11/2025,"107206,140523",09/12/2025,,1,1
392029,633196,V,"42159,300422",10/03/2026,"42159,300422",16/03/2026,,1,1
392033,633197,V,"52243,014993",10/03/2026,"52243,014993",16/03/2026,,1,1
392036,633198,V,"158199,342986",10/03/2026,"158199,342986",16/03/2026,,1,1
392039,633199,V,"49726,194639",10/03/2026,"49726,194639",16/03/2026,,1,1
392042,633200,V,"13239,011678",10/03/2026,"13239,011678",16/03/2026,,1,1
392045,633201,V,"14702,830215",10/03/2026,"14702,830215",16/03/2026,,1,1
392048,633202,V,"16614,026056",10/03/2026,"16614,026056",16/03/2026,,1,1
392051,633203,V,"13861,760885",10/03/2026,"13861,760885",16/03/2026,,1,1
392054,633204,V,"15547,478564",10/03/2026,"15547,478564",16/03/2026,,1,1
392057,633205,V,"19090,706809",10/03/2026,"19090,706809",16/03/2026,,1,1
392060,633206,V,"12176,043205",10/03/2026,"12176,043205",16/03/2026,,1,1
392063,633207,V,"18123,76522",10/03/2026,"18123,76522",16/03/2026,,1,1
392066,633208,V,"18434,957839",10/03/2026,"18434,957839",16/03/2026,,1,1
392069,633209,V,"16123,700532",10/03/2026,"16123,700532",16/03/2026,,1,1
392072,633210,V,"23099,207449",10/03/2026,"23099,207449",16/03/2026,,1,1
392075,633211,V,"12698,579895",10/03/2026,"12698,579895",16/03/2026,,1,1
392078,633212,V,"14194,609598",10/03/2026,"14194,609598",16/03/2026,,1,1
392081,633213,V,"18430,408239",10/03/2026,"18430,408239",16/03/2026,,1,1
392084,633214,V,"14971,256597",10/03/2026,"14971,256597",16/03/2026,,1,1
392087,633215,V,"23993,962056",10/03/2026,"23993,962056",16/03/2026,,1,1
392090,633216,V,"20737,055286",10/03/2026,"20737,055286",16/03/2026,,1,1
392093,633217,V,"27000,337536",10/03/2026,"27000,337536",16/03/2026,,1,1
392096,633218,V,"37522,651717",10/03/2026,"37522,651717",16/03/2026,,1,1
392099,633219,V,"22884,466343",10/03/2026,"22884,466343",16/03/2026,,1,1
392102,633220,V,"24101,332609",10/03/2026,"24101,332609",16/03/2026,,1,1
392105,633221,V,"28288,784171",10/03/2026,"28288,784171",16/03/2026,,1,1
392108,633222,V,"34194,164578",10/03/2026,"34194,164578",16/03/2026,,1,1
392111,633223,V,"44143,83581",10/03/2026,"44143,83581",16/03/2026,,1,1
392114,633224,V,"53950,346304",10/03/2026,"53950,346304",16/03/2026,,1,1
392117,633225,V,"19233,867546",10/03/2026,"19233,867546",16/03/2026,,1,1
392120,633226,V,"93176,388283",10/03/2026,"93176,388283",16/03/2026,,1,1
392123,633227,V,"195071,042948",25/11/2025,"195071,042948",09/12/2025,,1,1
392126,633228,V,"320837,750533",10/03/2026,"320837,750533",16/03/2026,,1,1
392129,633229,V,"21828,959214",10/03/2026,"21828,959214",16/03/2026,,1,1
392132,633230,V,"38274,245587",10/03/2026,"38274,245587",16/03/2026,,1,1
392135,633231,V,"10554,747856",10/03/2026,"10554,747856",16/03/2026,,1,1
392138,633232,V,"11732,244919",10/03/2026,"11732,244919",16/03/2026,,1,1
392141,633233,V,"11714,349827",10/03/2026,"11714,349827",16/03/2026,,1,1
392144,633234,V,"14527,458312",10/03/2026,"14527,458312",16/03/2026,,1,1
392147,633235,V,"18875,965703",10/03/2026,"18875,965703",16/03/2026,,1,1
392150,633236,V,"10576,221967",10/03/2026,"10576,221967",16/03/2026,,1,1
392153,633237,V,"10755,172888",10/03/2026,"10755,172888",16/03/2026,,1,1
392156,633238,V,"10783,805036",10/03/2026,"10783,805036",16/03/2026,,1,1
392159,633239,V,"12609,104435",10/03/2026,"12609,104435",16/03/2026,,1,1
392162,633240,V,"14055,02788",10/03/2026,"14055,02788",16/03/2026,,1,1
392165,633241,V,"143139,485548",10/03/2026,"143139,485548",16/03/2026,,1,1
392168,633242,V,"162215,653773",10/03/2026,"162215,653773",16/03/2026,,1,1
392171,633243,V,"204841,763258",10/03/2026,"204841,763258",16/03/2026,,1,1
392174,633244,V,"19499,564168",10/03/2026,"19499,564168",16/03/2026,,1,1
392177,633245,V,"29290,909331",10/03/2026,"29290,909331",16/03/2026,,1,1
392180,633246,V,"35876,30324",10/03/2026,"35876,30324",16/03/2026,,1,1
392183,633247,V,"37522,651717",10/03/2026,"37522,651717",16/03/2026,,1,1
392186,633248,V,"58388,329156",10/03/2026,"58388,329156",16/03/2026,,1,1
392189,633249,V,"21756,165618",10/03/2026,"21756,165618",16/03/2026,,1,1
392192,633250,V,"28682,476198",10/03/2026,"28682,476198",16/03/2026,,1,1
392195,633251,V,"43903,616946",10/03/2026,"43903,616946",16/03/2026,,1,1
392198,633252,V,"58808,105555",10/03/2026,"58808,105555",16/03/2026,,1,1
392201,633253,V,"37916,343744",10/03/2026,"37916,343744",16/03/2026,,1,1
392204,633254,V,"19412,818467",10/03/2026,"19412,818467",16/03/2026,,1,1
392207,633255,V,"13489,724952",10/03/2026,"13489,724952",16/03/2026,,1,1
392210,633256,V,"14566,342224",10/03/2026,"14566,342224",16/03/2026,,1,1
392213,633257,V,"13018,750391",10/03/2026,"13018,750391",16/03/2026,,1,1
392216,633258,V,"276561,046277",10/03/2026,"276561,046277",16/03/2026,,1,1
392219,633259,V,"356529,360159",10/03/2026,"356529,360159",16/03/2026,,1,1
392222,633260,V,"43284,871387",10/03/2026,"43284,871387",16/03/2026,,1,1
392225,633261,V,"107036,819588",10/03/2026,"107036,819588",16/03/2026,,1,1
392228,633262,V,"38846,888535",10/03/2026,"38846,888535",16/03/2026,,1,1
392230,633263,V,"95299,534808",25/11/2025,"95299,534808",09/12/2025,,1,1
392233,633264,V,"159274,185915",10/03/2026,"159274,185915",16/03/2026,,1,1
392235,633265,V,"41471,400947",25/11/2025,"41471,400947",09/12/2025,,1,1
392238,633266,V,"63255,794219",10/03/2026,"63255,794219",16/03/2026,,1,1
392241,633267,V,"48369,504009",10/03/2026,"48369,504009",16/03/2026,,1,1
392244,633268,V,"113299,571052",10/03/2026,"113299,571052",16/03/2026,,1,1
392247,633269,V,"66407,756889",10/03/2026,"66407,756889",16/03/2026,,1,1
392250,633270,V,"17239,323039",10/03/2026,"17239,323039",16/03/2026,,1,1
392253,633271,V,"17022,762093",10/03/2026,"17022,762093",16/03/2026,,1,1
392256,633272,V,"21508,667395",10/03/2026,"21508,667395",16/03/2026,,1,1
392259,633273,V,"21879,91473",10/03/2026,"21879,91473",16/03/2026,,1,1
392262,633274,V,"24107,398742",10/03/2026,"24107,398742",16/03/2026,,1,1
392265,633275,V,"180599,069617",25/11/2025,"180599,069617",09/12/2025,,1,1
392268,633276,V,"221143,355075",10/03/2026,"221143,355075",16/03/2026,,1,1
392271,633277,V,"87465,124129",10/03/2026,"87465,124129",16/03/2026,,1,1
392274,633278,V,"143280,523138",10/03/2026,"143280,523138",16/03/2026,,1,1
392277,633279,V,"180599,069617",10/03/2026,"180599,069617",16/03/2026,,1,1
392280,633280,V,"152292,261029",10/03/2026,"152292,261029",16/03/2026,,1,1
392283,633281,V,"56471,43115",10/03/2026,"56471,43115",16/03/2026,,1,1
392286,633282,V,"141274,149672",10/03/2026,"141274,149672",16/03/2026,,1,1
392289,633283,V,"102866,429025",10/03/2026,"102866,429025",16/03/2026,,1,1
392292,633284,V,"12798,792411",10/03/2026,"12798,792411",16/03/2026,,1,1
392295,633285,V,"12798,792411",10/03/2026,"12798,792411",16/03/2026,,1,1
392298,633286,V,"13407,84429",10/03/2026,"13407,84429",16/03/2026,,1,1
392301,633287,V,"13804,253944",10/03/2026,"13804,253944",16/03/2026,,1,1
392304,633288,V,"18311,815341",10/03/2026,"18311,815341",16/03/2026,,1,1
392307,633289,V,"19482,803443",10/03/2026,"19482,803443",16/03/2026,,1,1
392310,633290,V,"11596,242219",10/03/2026,"11596,242219",16/03/2026,,1,1
392313,633291,V,"13239,011678",10/03/2026,"13239,011678",16/03/2026,,1,1
392316,633292,V,"12619,84149",10/03/2026,"12619,84149",16/03/2026,,1,1
392319,633293,V,"13550,386281",10/03/2026,"13550,386281",16/03/2026,,1,1
392322,633294,V,"11378,6197",10/03/2026,"11378,6197",16/03/2026,,1,1
392325,633295,V,"11335,641149",10/03/2026,"11335,641149",16/03/2026,,1,1
392328,633296,V,"11335,641149",10/03/2026,"11335,641149",16/03/2026,,1,1
392332,633297,V,"11702,61186",10/03/2026,"11702,61186",16/03/2026,,1,1
392336,633298,V,"11653,021223",10/03/2026,"11653,021223",16/03/2026,,1,1
392340,633299,V,"11653,021223",10/03/2026,"11653,021223",16/03/2026,,1,1
392343,633300,V,"14527,458312",10/03/2026,"14527,458312",16/03/2026,,1,1
392346,633301,V,"15014,204819",10/03/2026,"15014,204819",16/03/2026,,1,1
392349,633302,V,"17100,772563",10/03/2026,"17100,772563",16/03/2026,,1,1
392352,633303,V,"18088,581649",10/03/2026,"18088,581649",16/03/2026,,1,1
392355,633304,V,"18947,546072",10/03/2026,"18947,546072",16/03/2026,,1,1
392358,633305,V,"21953,921552",10/03/2026,"21953,921552",16/03/2026,,1,1
392361,633306,V,"17515,9387",10/03/2026,"17515,9387",16/03/2026,,1,1
392364,633307,V,"18088,581649",10/03/2026,"18088,581649",16/03/2026,,1,1
392367,633308,V,"18732,804966",10/03/2026,"18732,804966",16/03/2026,,1,1
392370,633309,V,"16653,395259",10/03/2026,"16653,395259",16/03/2026,,1,1
392373,633310,V,"17694,889622",10/03/2026,"17694,889622",16/03/2026,,1,1
392376,633311,V,"17945,420912",10/03/2026,"17945,420912",16/03/2026,,1,1
392379,633312,V,"17057,824341",10/03/2026,"17057,824341",16/03/2026,,1,1
392382,633313,V,"20414,943628",10/03/2026,"20414,943628",16/03/2026,,1,1
392385,633314,V,"21810,760815",10/03/2026,"21810,760815",16/03/2026,,1,1
392388,633315,V,"21094,957129",10/03/2026,"21094,957129",16/03/2026,,1,1
392391,633316,V,"23242,368186",10/03/2026,"23242,368186",16/03/2026,,1,1
392394,633317,V,"23242,368186",10/03/2026,"23242,368186",16/03/2026,,1,1
392397,633318,V,"43284,871387",10/03/2026,"43284,871387",16/03/2026,,1,1
392400,633319,V,"20414,943628",10/03/2026,"20414,943628",16/03/2026,,1,1
392403,633320,V,"21488,649156",10/03/2026,"21488,649156",16/03/2026,,1,1
392406,633321,V,"20128,622153",10/03/2026,"20128,622153",16/03/2026,,1,1
392409,633322,V,"20629,684733",10/03/2026,"20629,684733",16/03/2026,,1,1
392412,633323,V,"18911,755887",10/03/2026,"18911,755887",16/03/2026,,1,1
392415,633324,V,"20200,202522",10/03/2026,"20200,202522",16/03/2026,,1,1
392418,633325,V,"20629,684733",10/03/2026,"20629,684733",16/03/2026,,1,1
392421,633326,V,"20271,78289",10/03/2026,"20271,78289",16/03/2026,,1,1
392424,633327,V,"18374,903123",10/03/2026,"18374,903123",16/03/2026,,1,1
392427,633328,V,"21918,131368",10/03/2026,"21918,131368",16/03/2026,,1,1
392430,633329,V,"23993,962056",10/03/2026,"23993,962056",16/03/2026,,1,1
392433,633330,V,"72274,920659",10/03/2026,"72274,920659",16/03/2026,,1,1
392436,633331,V,"15331,220926",10/03/2026,"15331,220926",16/03/2026,,1,1
392439,633332,V,"19786,188949",10/03/2026,"19786,188949",16/03/2026,,1,1
392442,633333,V,"15443,68703",10/03/2026,"15443,68703",16/03/2026,,1,1
392445,633334,V,"47302,16792",10/03/2026,"47302,16792",16/03/2026,,1,1
392448,633335,V,"18264,863472",10/03/2026,"18264,863472",16/03/2026,,1,1
