"ORDESTOK,N,6,0","GRARARTI,C,10","CODIDEPO,C,2","ANTESTOK,N,12,2","ACTUSTOK,N,12,2","MINISTOK,N,12,2","MAXISTOK,N,12,2","PEDISTOK,N,12,2","INGRSTOK,N,12,2","EGRESTOK,N,12,2","AUXISTOK,N,8,2","UBICSTOK,C,5","CAPESTOK,N,12,2","CODIARTI,C,10","UBICSTO1,C,5","CODIPAPE,C,2","CODITIDE,C,1","VEPRSTOK,N,12,2","STOCKP,N,12,2"
72,09022,01,0,0,0,0,0,0,0,0,,0,,,,,,
73,09023,01,0,0,0,0,0,0,0,0,,0,,,,,,
74,09024,01,0,0,0,0,0,0,0,0,,0,,,,,,
75,09101,01,0,0,0,0,0,0,0,0,,0,,,,,,
76,09102,01,0,0,0,0,0,0,0,0,,0,,,,,,
77,09103,01,0,0,0,0,0,0,0,0,,0,,,,,,
78,09104,01,0,0,0,0,0,0,0,0,,0,,,,,,
79,09105,01,0,0,0,0,0,0,0,0,,0,,,,,,
80,09106,01,0,0,0,0,0,0,0,0,,0,,,,,,
81,09107,01,0,0,0,0,0,0,0,0,,0,,,,,,
82,09110,01,0,0,0,0,0,0,0,0,,0,,,,,,
83,09111,01,0,0,0,0,0,0,0,0,,0,,,,,,
84,09112,01,0,0,0,0,0,0,0,0,,0,,,,,,
85,09113,01,0,0,0,0,0,0,0,0,,0,,,,,,
86,09114,01,0,0,0,0,0,0,0,0,,0,,,,,,
87,09115,01,0,0,0,0,0,0,0,0,,0,,,,,,
88,09120,01,0,0,0,0,0,0,0,0,,0,,,,,,
89,09121,01,0,0,0,0,0,0,0,0,,0,,,,,,
90,09122,01,0,0,0,0,0,0,0,0,,0,,,,,,
91,09123,01,0,0,0,0,0,0,0,0,,0,,,,,,
92,09124,01,0,0,0,0,0,0,0,0,,0,,,,,,
93,09130,01,0,0,0,0,0,0,0,0,,0,,,,,,
94,09131,01,0,0,0,0,0,0,0,0,,0,,,,,,
95,09132,01,0,0,0,0,0,0,0,0,,0,,,,,,
96,09133,01,0,0,0,0,0,0,0,0,,0,,,,,,
97,09200,01,0,0,0,0,0,0,0,0,,0,,,,,,
98,09201,01,0,0,0,0,0,0,0,0,,0,,,,,,
99,09202,01,0,0,0,0,0,0,0,0,,0,,,,,,
100,09203,01,0,0,0,0,0,0,0,0,,0,,,,,,
101,09204,01,0,0,0,0,0,0,0,0,,0,,,,,,
102,09210,01,0,0,0,0,0,0,0,0,,0,,,,,,
103,09211,01,0,0,0,0,0,0,0,0,,0,,,,,,
104,09212,01,0,0,0,0,0,0,0,0,,0,,,,,,
105,09213,01,0,0,0,0,0,0,0,0,,0,,,,,,
106,09250,01,0,0,0,0,0,0,0,0,,0,,,,,,
107,09251,01,0,0,0,0,0,0,0,0,,0,,,,,,
108,09252,01,0,0,0,0,0,0,0,0,,0,,,,,,
109,09253,01,0,0,0,0,0,0,0,0,,0,,,,,,
110,09254,01,0,0,0,0,0,0,0,0,,0,,,,,,
111,09255,01,0,0,0,0,0,0,0,0,,0,,,,,,
112,09300,01,0,0,0,0,0,0,0,0,,0,,,,,,
113,09301,01,0,0,0,0,0,0,0,0,,0,,,,,,
114,09302,01,0,0,0,0,0,0,0,0,,0,,,,,,
115,09320,01,0,0,0,0,0,0,0,0,,0,,,,,,
116,09321,01,0,0,0,0,0,0,0,0,,0,,,,,,
117,09322,01,0,0,0,0,0,0,0,0,,0,,,,,,
118,09330,01,0,0,0,0,0,0,0,0,,0,,,,,,
119,09350,01,0,0,0,0,0,0,0,0,,0,,,,,,
120,09351,01,0,0,0,0,0,0,0,0,,0,,,,,,
121,09352,01,0,0,0,0,0,0,0,0,,0,,,,,,
122,09400,01,0,0,0,0,0,0,0,0,,0,,,,,,
123,09401,01,0,0,0,0,0,0,0,0,,0,,,,,,
124,09402,01,0,0,0,0,0,0,0,0,,0,,,,,,
125,09403,01,0,0,0,0,0,0,0,0,,0,,,,,,
126,09410,01,0,0,0,0,0,0,0,0,,0,,,,,,
127,09411,01,0,0,0,0,0,0,0,0,,0,,,,,,
128,09412,01,0,0,0,0,0,0,0,0,,0,,,,,,
129,09413,01,0,0,0,0,0,0,0,0,,0,,,,,,
130,09420,01,0,0,0,0,0,0,0,0,,0,,,,,,
131,09421,01,0,0,0,0,0,0,0,0,,0,,,,,,
132,09422,01,0,0,0,0,0,0,0,0,,0,,,,,,
133,09423,01,0,0,0,0,0,0,0,0,,0,,,,,,
134,06000,01,0,0,0,0,0,0,0,0,,0,,,,,,
135,06001,01,0,0,0,0,0,0,0,0,,0,,,,,,
136,06002,01,0,0,0,0,0,0,0,0,,0,,,,,,
137,06003,01,0,0,0,0,0,0,0,0,,0,,,,,,
138,06004,01,0,0,0,0,0,0,0,0,,0,,,,,,
139,06005,01,0,0,0,0,0,0,0,0,,0,,,,,,
140,06006,01,0,0,0,0,0,0,0,0,,0,,,,,,
141,06007,01,0,0,0,0,0,0,0,0,,0,,,,,,
142,06008,01,0,0,0,0,0,0,0,0,,0,,,,,,
143,06009,01,0,0,0,0,0,0,0,0,,0,,,,,,
144,06010,01,0,0,0,0,0,0,0,0,,0,,,,,,
145,06011,01,0,0,0,0,0,0,0,0,,0,,,,,,
146,06012,01,0,0,0,0,0,0,0,0,,0,,,,,,
147,06013,01,0,0,0,0,0,0,0,0,,0,,,,,,
148,06014,01,0,0,0,0,0,0,0,0,,0,,,,,,
149,01085,01,0,0,0,0,0,0,0,0,,0,,,,,,
150,01090,01,0,0,0,0,0,0,0,0,,0,,,,,,
151,01091,01,0,0,0,0,0,0,0,0,,0,,,,,,
152,01092,01,0,0,0,0,0,0,0,0,,0,,,,,,
153,01093,01,0,0,0,0,0,0,0,0,,0,,,,,,
154,01095,01,0,0,0,0,0,0,0,0,,0,,,,,,
155,01096,01,0,0,0,0,0,0,0,0,,0,,,,,,
156,01015,01,0,0,0,0,0,0,0,0,,0,,,,,,
157,01025,01,0,0,0,0,0,0,0,0,,0,,,,,,
158,06020,01,0,0,0,0,0,0,0,0,,0,,,,,,
159,06021,01,0,0,0,0,0,0,0,0,,0,,,,,,
160,06022,01,0,0,0,0,0,0,0,0,,0,,,,,,
161,06023,01,0,0,0,0,0,0,0,0,,0,,,,,,
162,06024,01,0,0,0,0,0,0,0,0,,0,,,,,,
163,06025,01,0,0,0,0,0,0,0,0,,0,,,,,,
164,06026,01,0,0,0,0,0,0,0,0,,0,,,,,,
165,06027,01,0,0,0,0,0,0,0,0,,0,,,,,,
166,06028,01,0,0,0,0,0,0,0,0,,0,,,,,,
167,06029,01,0,0,0,0,0,0,0,0,,0,,,,,,
168,06030,01,0,0,0,0,0,0,0,0,,0,,,,,,
169,06031,01,0,0,0,0,0,0,0,0,,0,,,,,,
170,06032,01,0,0,0,0,0,0,0,0,,0,,,,,,
171,06033,01,0,0,0,0,0,0,0,0,,0,,,,,,
172,06034,01,0,0,0,0,0,0,0,0,,0,,,,,,
173,10020,01,0,0,0,0,0,0,0,0,,0,,,,,,
174,10021,01,0,0,0,0,0,0,0,0,,0,,,,,,
175,11010,01,0,0,0,0,0,0,0,0,,0,,,,,,
176,11011,01,0,0,0,0,0,0,0,0,,0,,,,,,
177,11012,01,0,0,0,0,0,0,0,0,,0,,,,,,
178,11013,01,0,0,0,0,0,0,0,0,,0,,,,,,
179,11014,01,0,0,0,0,0,0,0,0,,0,,,,,,
180,11015,01,0,0,0,0,0,0,0,0,,0,,,,,,
181,11016,01,0,0,0,0,0,0,0,0,,0,,,,,,
182,11200,01,0,0,0,0,0,0,0,0,,0,,,,,,
183,11201,01,0,0,0,0,0,0,0,0,,0,,,,,,
184,11202,01,0,0,0,0,0,0,0,0,,0,,,,,,
185,11203,01,0,0,0,0,0,0,0,0,,0,,,,,,
186,11204,01,0,0,0,0,0,0,0,0,,0,,,,,,
187,11100,01,0,0,0,0,0,0,0,0,,0,,,,,,
188,11101,01,0,0,0,0,0,0,0,0,,0,,,,,,
189,11102,01,0,0,0,0,0,0,0,0,,0,,,,,,
190,11103,01,0,0,0,0,0,0,0,0,,0,,,,,,
191,11110,01,0,0,0,0,0,0,0,0,,0,,,,,,
192,11111,01,0,0,0,0,0,0,0,0,,0,,,,,,
193,11112,01,0,0,0,0,0,0,0,0,,0,,,,,,
194,11113,01,0,0,0,0,0,0,0,0,,0,,,,,,
195,11018,01,0,0,0,0,0,0,0,0,,0,,,,,,
196,11019,01,0,0,0,0,0,0,0,0,,0,,,,,,
197,11020,01,0,0,0,0,0,0,0,0,,0,,,,,,
198,11021,01,0,0,0,0,0,0,0,0,,0,,,,,,
199,11022,01,0,0,0,0,0,0,0,0,,0,,,,,,
200,11023,01,0,0,0,0,0,0,0,0,,0,,,,,,
201,11024,01,0,0,0,0,0,0,0,0,,0,,,,,,
202,11025,01,0,0,0,0,0,0,0,0,,0,,,,,,
203,11030,01,0,0,0,0,0,0,0,0,,0,,,,,,
204,11031,01,0,0,0,0,0,0,0,0,,0,,,,,,
205,11032,01,0,0,0,0,0,0,0,0,,0,,,,,,
206,11033,01,0,0,0,0,0,0,0,0,,0,,,,,,
207,11034,01,0,0,0,0,0,0,0,0,,0,,,,,,
208,11040,01,0,0,0,0,0,0,0,0,,0,,,,,,
209,11041,01,0,0,0,0,0,0,0,0,,0,,,,,,
210,11042,01,0,0,0,0,0,0,0,0,,0,,,,,,
211,11043,01,0,0,0,0,0,0,0,0,,0,,,,,,
212,11044,01,0,0,0,0,0,0,0,0,,0,,,,,,
213,11050,01,0,0,0,0,0,0,0,0,,0,,,,,,
214,11051,01,0,0,0,0,0,0,0,0,,0,,,,,,
215,11052,01,0,0,0,0,0,0,0,0,,0,,,,,,
216,11053,01,0,0,0,0,0,0,0,0,,0,,,,,,
217,11054,01,0,0,0,0,0,0,0,0,,0,,,,,,
218,11060,01,0,0,0,0,0,0,0,0,,0,,,,,,
219,11061,01,0,0,0,0,0,0,0,0,,0,,,,,,
220,11062,01,0,0,0,0,0,0,0,0,,0,,,,,,
221,11063,01,0,0,0,0,0,0,0,0,,0,,,,,,
222,11064,01,0,0,0,0,0,0,0,0,,0,,,,,,
223,11065,01,0,0,0,0,0,0,0,0,,0,,,,,,
224,11066,01,0,0,0,0,0,0,0,0,,0,,,,,,
225,11067,01,0,0,0,0,0,0,0,0,,0,,,,,,
226,11068,01,0,0,0,0,0,0,0,0,,0,,,,,,
227,11069,01,0,0,0,0,0,0,0,0,,0,,,,,,
228,11070,01,0,0,0,0,0,0,0,0,,0,,,,,,
229,11071,01,0,0,0,0,0,0,0,0,,0,,,,,,
230,11080,01,0,0,0,0,0,0,0,0,,0,,,,,,
231,11081,01,0,0,0,0,0,0,0,0,,0,,,,,,
232,11082,01,0,0,0,0,0,0,0,0,,0,,,,,,
233,11083,01,0,0,0,0,0,0,0,0,,0,,,,,,
234,11090,01,0,0,0,0,0,0,0,0,,0,,,,,,
235,11091,01,0,0,0,0,0,0,0,0,,0,,,,,,
236,11092,01,0,0,0,0,0,0,0,0,,0,,,,,,
237,11300,01,0,0,0,0,0,0,0,0,,0,,,,,,
238,11310,01,0,0,0,0,0,0,0,0,,0,,,,,,
239,04005,01,0,0,0,0,0,0,0,0,,0,,,,,,
240,11093,01,0,0,0,0,0,0,0,0,,0,,,,,,
241,11251,01,0,0,0,0,0,0,0,0,,0,,,,,,
242,11254,01,0,0,0,0,0,0,0,0,,0,,,,,,
243,11252,01,0,0,0,0,0,0,0,0,,0,,,,,,
244,11253,01,0,0,0,0,0,0,0,0,,0,,,,,,
245,11255,01,0,0,0,0,0,0,0,0,,0,,,,,,
246,11256,01,0,0,0,0,0,0,0,0,,0,,,,,,
247,01035,01,0,0,0,0,0,0,0,0,,0,,,,,,
248,01059,01,0,0,0,0,0,0,0,0,,0,,,,,,
249,01028,01,0,0,0,0,0,0,0,0,,0,,,,,,
250,01009,01,0,0,0,0,0,0,0,0,,0,,,,,,
251,04015,01,0,0,0,0,0,0,0,0,,0,,,,,,
252,04017,01,0,0,0,0,0,0,0,0,,0,,,,,,
253,12010,01,0,0,0,0,0,0,0,0,,0,,,,,,
254,12020,01,0,0,0,0,0,0,0,0,,0,,,,,,
255,12030,01,0,0,0,0,0,0,0,0,,0,,,,,,
256,12035,01,0,0,0,0,0,0,0,0,,0,,,,,,
257,12040,01,0,0,0,0,0,0,0,0,,0,,,,,,
258,12045,01,0,0,0,0,0,0,0,0,,0,,,,,,
259,12050,01,0,0,0,0,0,0,0,0,,0,,,,,,
260,12055,01,0,0,0,0,0,0,0,0,,0,,,,,,
261,12060,01,0,0,0,0,0,0,0,0,,0,,,,,,
262,12065,01,0,0,0,0,0,0,0,0,,0,,,,,,
263,12070,01,0,0,0,0,0,0,0,0,,0,,,,,,
264,12075,01,0,0,0,0,0,0,0,0,,0,,,,,,
265,12080,01,0,0,0,0,0,0,0,0,,0,,,,,,
266,12085,01,0,0,0,0,0,0,0,0,,0,,,,,,
267,12090,01,0,0,0,0,0,0,0,0,,0,,,,,,
268,12095,01,0,0,0,0,0,0,0,0,,0,,,,,,
269,12100,01,0,0,0,0,0,0,0,0,,0,,,,,,
270,12105,01,0,0,0,0,0,0,0,0,,0,,,,,,
271,12110,01,0,0,0,0,0,0,0,0,,0,,,,,,
272,12115,01,0,0,0,0,0,0,0,0,,0,,,,,,
273,12120,01,0,0,0,0,0,0,0,0,,0,,,,,,
274,12125,01,0,0,0,0,0,0,0,0,,0,,,,,,
275,12130,01,0,0,0,0,0,0,0,0,,0,,,,,,
276,12135,01,0,0,0,0,0,0,0,0,,0,,,,,,
277,11320,01,0,0,0,0,0,0,0,0,,0,,,,,,
278,11330,01,0,0,0,0,0,0,0,0,,0,,,,,,
279,05025,01,0,0,0,0,0,0,0,0,,0,,,,,,
280,05026,01,0,0,0,0,0,0,0,0,,0,,,,,,
281,05027,01,0,0,0,0,0,0,0,0,,0,,,,,,
282,05028,01,0,0,0,0,0,0,0,0,,0,,,,,,
283,05030,01,0,0,0,0,0,0,0,0,,0,,,,,,
284,05031,01,0,0,0,0,0,0,0,0,,0,,,,,,
285,05032,01,0,0,0,0,0,0,0,0,,0,,,,,,
286,05040,01,0,0,0,0,0,0,0,0,,0,,,,,,
287,05041,01,0,0,0,0,0,0,0,0,,0,,,,,,
288,05042,01,0,0,0,0,0,0,0,0,,0,,,,,,
289,01027,01,0,0,0,0,0,0,0,0,,0,,,,,,
290,01021,01,0,0,0,0,0,0,0,0,,0,,,,,,
291,01083,01,0,0,0,0,0,0,0,0,,0,,,,,,
292,12141,01,0,0,0,0,0,0,0,0,,0,,,,,,
293,12143,01,0,0,0,0,0,0,0,0,,0,,,,,,
294,12145,01,0,0,0,0,0,0,0,0,,0,,,,,,
295,07002,01,0,0,0,0,0,0,0,0,,0,,,,,,
296,07010,01,0,0,0,0,0,0,0,0,,0,,,,,,
297,07015,01,0,0,0,0,0,0,0,0,,0,,,,,,
298,07021,01,0,0,0,0,0,0,0,0,,0,,,,,,
299,07022,01,0,0,0,0,0,0,0,0,,0,,,,,,
300,07023,01,0,0,0,0,0,0,0,0,,0,,,,,,
301,07030,01,0,0,0,0,0,0,0,0,,0,,,,,,
302,07031,01,0,0,0,0,0,0,0,0,,0,,,,,,
303,07035,01,0,0,0,0,0,0,0,0,,0,,,,,,
304,07040,01,0,0,0,0,0,0,0,0,,0,,,,,,
305,07050,01,0,0,0,0,0,0,0,0,,0,,,,,,
306,07055,01,0,0,0,0,0,0,0,0,,0,,,,,,
307,07056,01,0,0,0,0,0,0,0,0,,0,,,,,,
308,07060,01,0,0,0,0,0,0,0,0,,0,,,,,,
309,07061,01,0,0,0,0,0,0,0,0,,0,,,,,,
310,6141150520,01,0,0,0,0,0,0,0,0,,0,,,,,,
311,6143114880,01,0,0,0,0,0,0,0,0,,0,,,,,,
312,6143114280,01,0,0,0,0,0,0,0,0,,0,,,,,,
313,07025,01,0,0,0,0,0,0,0,0,,0,,,,,,
314,07027,01,0,0,0,0,0,0,0,0,,0,,,,,,
315,12142,01,0,0,0,0,0,0,0,0,,0,,,,,,
316,08002,01,0,0,0,0,0,0,0,0,,0,,,,,,
317,08003,01,0,0,0,0,0,0,0,0,,0,,,,,,
318,08004,01,0,0,0,0,0,0,0,0,,0,,,,,,
319,08005,01,0,0,0,0,0,0,0,0,,0,,,,,,
320,08008,01,0,0,0,0,0,0,0,0,,0,,,,,,
321,08006,01,0,0,0,0,0,0,0,0,,0,,,,,,
322,08007,01,0,0,0,0,0,0,0,0,,0,,,,,,
323,08013,01,0,0,0,0,0,0,0,0,,0,,,,,,
324,08014,01,0,0,0,0,0,0,0,0,,0,,,,,,
325,08015,01,0,0,0,0,0,0,0,0,,0,,,,,,
326,08016,01,0,0,0,0,0,0,0,0,,0,,,,,,
327,08017,01,0,0,0,0,0,0,0,0,,0,,,,,,
328,07070,01,0,0,0,0,0,0,0,0,,0,,,,,,
329,07071,01,0,0,0,0,0,0,0,0,,0,,,,,,
330,07072,01,0,0,0,0,0,0,0,0,,0,,,,,,
331,07075,01,0,0,0,0,0,0,0,0,,0,,,,,,
332,07076,01,0,0,0,0,0,0,0,0,,0,,,,,,
333,07080,01,0,0,0,0,0,0,0,0,,0,,,,,,
334,07081,01,0,0,0,0,0,0,0,0,,0,,,,,,
335,07085,01,0,0,0,0,0,0,0,0,,0,,,,,,
336,07086,01,0,0,0,0,0,0,0,0,,0,,,,,,
337,07090,01,0,0,0,0,0,0,0,0,,0,,,,,,
338,07088,01,0,0,0,0,0,0,0,0,,0,,,,,,
339,07091,01,0,0,0,0,0,0,0,0,,0,,,,,,
340,07095,01,0,0,0,0,0,0,0,0,,0,,,,,,
341,07096,01,0,0,0,0,0,0,0,0,,0,,,,,,
342,07100,01,0,0,0,0,0,0,0,0,,0,,,,,,
343,07110,01,0,0,0,0,0,0,0,0,,0,,,,,,
344,04021,01,0,0,0,0,0,0,0,0,,0,,,,,,
345,04022,01,0,0,0,0,0,0,0,0,,0,,,,,,
346,97005,01,0,0,0,0,0,0,0,0,,0,,,,,,
347,97006,01,0,0,0,0,0,0,0,0,,0,,,,,,
348,97007,01,0,0,0,0,0,0,0,0,,0,,,,,,
349,97008,01,0,0,0,0,0,0,0,0,,0,,,,,,
350,07132,01,0,0,0,0,0,0,0,0,,0,,,,,,
351,07123,01,0,0,0,0,0,0,0,0,,0,,,,,,
352,07124,01,0,0,0,0,0,0,0,0,,0,,,,,,
353,07125,01,0,0,0,0,0,0,0,0,,0,,,,,,
354,10100,01,0,0,0,0,0,0,0,0,,0,,,,,,
355,10101,01,0,0,0,0,0,0,0,0,,0,,,,,,
356,10115,01,0,0,0,0,0,0,0,0,,0,,,,,,
357,10120,01,0,0,0,0,0,0,0,0,,0,,,,,,
358,10121,01,0,0,0,0,0,0,0,0,,0,,,,,,
359,10125,01,0,0,0,0,0,0,0,0,,0,,,,,,
360,10126,01,0,0,0,0,0,0,0,0,,0,,,,,,
361,10127,01,0,0,0,0,0,0,0,0,,0,,,,,,
362,6143112230,01,0,0,0,0,0,0,0,0,,0,,,,,,
363,05053,01,0,0,0,0,0,0,0,0,,0,,,,,,
364,05051,01,0,0,0,0,0,0,0,0,,0,,,,,,
365,05052,01,0,0,0,0,0,0,0,0,,0,,,,,,
366,05060,01,0,0,0,0,0,0,0,0,,0,,,,,,
367,05061,01,0,0,0,0,0,0,0,0,,0,,,,,,
368,05062,01,0,0,0,0,0,0,0,0,,0,,,,,,
369,05063,01,0,0,0,0,0,0,0,0,,0,,,,,,
370,07024,01,0,0,0,0,0,0,0,0,,0,,,,,,
371,07049,01,0,0,0,0,0,0,0,0,,0,,,,,,
372,07099,01,0,0,0,0,0,0,0,0,,0,,,,,,
373,07118,01,0,0,0,0,0,0,0,0,,0,,,,,,
374,10025,01,0,0,0,0,0,0,0,0,,0,,,,,,
375,10026,01,0,0,0,0,0,0,0,0,,0,,,,,,
376,10027,01,0,0,0,0,0,0,0,0,,0,,,,,,
377,10030,01,0,0,0,0,0,0,0,0,,0,,,,,,
378,10031,01,0,0,0,0,0,0,0,0,,0,,,,,,
379,10032,01,0,0,0,0,0,0,0,0,,0,,,,,,
380,10033,01,0,0,0,0,0,0,0,0,,0,,,,,,
381,10040,01,0,0,0,0,0,0,0,0,,0,,,,,,
382,10041,01,0,0,0,0,0,0,0,0,,0,,,,,,
383,10042,01,0,0,0,0,0,0,0,0,,0,,,,,,
384,10043,01,0,0,0,0,0,0,0,0,,0,,,,,,
385,12151,01,0,0,0,0,0,0,0,0,,0,,,,,,
386,12152,01,0,0,0,0,0,0,0,0,,0,,,,,,
387,12153,01,0,0,0,0,0,0,0,0,,0,,,,,,
388,12154,01,0,0,0,0,0,0,0,0,,0,,,,,,
389,12155,01,0,0,0,0,0,0,0,0,,0,,,,,,
390,07141,01,0,0,0,0,0,0,0,0,,0,,,,,,
391,07142,01,0,0,0,0,0,0,0,0,,0,,,,,,
392,07143,01,0,0,0,0,0,0,0,0,,0,,,,,,
393,97004,01,0,0,0,0,0,0,0,0,,0,,,,,,
394,07026,01,0,0,0,0,0,0,0,0,,0,,,,,,
395,07150,01,0,0,0,0,0,0,0,0,,0,,,,,,
396,01029,01,0,0,0,0,0,0,0,0,,0,,,,,,
397,01005,01,0,0,0,0,0,0,0,0,,0,,,,,,
398,01065,01,0,0,0,0,0,0,0,0,,0,,,,,,
399,97009,01,0,0,0,0,0,0,0,0,,0,,,,,,
400,09331,01,0,0,0,0,0,0,0,0,,0,,,,,,
401,07028,01,0,0,0,0,0,0,0,0,,0,,,,,,
402,07160,01,0,0,0,0,0,0,0,0,,0,,,,,,
403,07121,01,0,0,0,0,0,0,0,0,,0,,,,,,
404,07122,01,0,0,0,0,0,0,0,0,,0,,,,,,
405,07119,01,0,0,0,0,0,0,0,0,,0,,,,,,
406,07003,01,0,0,0,0,0,0,0,0,,0,,,,,,
407,12200,01,0,0,0,0,0,0,0,0,,0,,,,,,
408,12210,01,0,0,0,0,0,0,0,0,,0,,,,,,
409,12211,01,0,0,0,0,0,0,0,0,,0,,,,,,
410,12212,01,0,0,0,0,0,0,0,0,,0,,,,,,
411,12213,01,0,0,0,0,0,0,0,0,,0,,,,,,
412,12214,01,0,0,0,0,0,0,0,0,,0,,,,,,
413,12215,01,0,0,0,0,0,0,0,0,,0,,,,,,
414,12216,01,0,0,0,0,0,0,0,0,,0,,,,,,
415,12031,01,0,0,0,0,0,0,0,0,,0,,,,,,
416,12033,01,0,0,0,0,0,0,0,0,,0,,,,,,
417,12034,01,0,0,0,0,0,0,0,0,,0,,,,,,
418,12036,01,0,0,0,0,0,0,0,0,,0,,,,,,
419,12160,01,0,0,0,0,0,0,0,0,,0,,,,,,
420,12161,01,0,0,0,0,0,0,0,0,,0,,,,,,
421,12165,01,0,0,0,0,0,0,0,0,,0,,,,,,
